Back,Back
"Start New Recording","Start New Recording"
"Create Optimization","Create Optimization"
Cancel,Cancel
Deploy,Deploy
"Are you sure you want to do this?","Are you sure you want to do this?"
Delete,Delete
Optimize,Optimize
"label' 'Button","label' 'Button"
Refresh,Refresh
"Revert Deployment","Revert Deployment"
"Save as Auto Run Template","Save as Auto Run Template"
Save,Save
"Schedule New Recording","Schedule New Recording"
"Page Handle","Page Handle"
Dependency,Dependency
Timeline,Timeline
"Unable to deploy optimization. Optimization could not be found.","Unable to deploy optimization. Optimization could not be found."
"The optimization was deployed. Select ""Revert"" do undo the deployment.","The optimization was deployed. Select ""Revert"" do undo the deployment."
"Generate JS Bundles","Generate JS Bundles"
Optimizations,Optimizations
"The optimization deployment was reverted","The optimization deployment was reverted"
"The optimization was not found","The optimization was not found"
"An error occurred while reverting the optimization","An error occurred while reverting the optimization"
"Unable to retrieve recording for optimization","Unable to retrieve recording for optimization"
"Successfully requested recording optimization. Check the latest status in the ""Optimizations"" section.","Successfully requested recording optimization. Check the latest status in the ""Optimizations"" section."
"Template was saved successfully.","Template was saved successfully."
"An error occurred while trying to save the template.","An error occurred while trying to save the template."
"The mageproxy.io connector is disabled.","The mageproxy.io connector is disabled."
"All stores are setup to run in auto run mode.","All stores are setup to run in auto run mode."
"Create Recording","Create Recording"
"An error occurred while deleting the recording.","An error occurred while deleting the recording."
"Recording was deleted successfully.","Recording was deleted successfully."
"Mageproxy Connector is disabled. Please enable it in Stores > Configuration > Services > Mageproxy Connector.","Mageproxy Connector is disabled. Please enable it in Stores > Configuration > Services > Mageproxy Connector."
"Recordings","Recordings"
"The recording with ID ""%1"" is deployed and cannot be deleted. First revert the deployment before deleting.","The recording with ID ""%1"" is deployed and cannot be deleted. First revert the deployment before deleting."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"All requested stores are setup to run in auto run mode.","All requested stores are setup to run in auto run mode."
"Scheduled time must be in the future.","Scheduled time must be in the future."
"Failed to create recording(s), error: %1.","Failed to create recording(s), error: %1."
"Failed to create recording for store ""%1"", error: %2","Failed to create recording for store ""%1"", error: %2"
"The recording ID is missing.","The recording ID is missing."
"An error occurred while starting the recording.","An error occurred while starting the recording."
"The recording was started successfully.","The recording was started successfully."
"The recording was stopped successfully.","The recording was stopped successfully."
"An error occurred while stopping the recording.","An error occurred while stopping the recording."
"An error occurred while synchronizing the recording.","An error occurred while synchronizing the recording."
"An error occurred while synchronizing the optimization.","An error occurred while synchronizing the optimization."
"The recording data was successfully synchronized from the MageProxy API.","The recording data was successfully synchronized from the MageProxy API."
Recording,Recording
"Template not found.","Template not found."
"The template has been deleted.","The template has been deleted."
"An error occurred while deleting the template.","An error occurred while deleting the template."
"Auto Optimize Template","Auto Optimize Template"
"Unauthorized. Check the Service ID and Api Key settings in configuration.","Unauthorized. Check the Service ID and Api Key settings in configuration."
"Resource not found","Resource not found"
"An error occurred. Please contact support.","An error occurred. Please contact support."
"You have deployed static assets using compact mode. Please run static content deploy with standard or quick mode","You have deployed static assets using compact mode. Please run static content deploy with standard or quick mode"
"Js minification is enabled. Please disable this setting in system configuration.","Js minification is enabled. Please disable this setting in system configuration."
"Merge js files is enabled. Please disable this setting in system configuration.","Merge js files is enabled. Please disable this setting in system configuration."
